spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
3598,PONG KRIEL|PK030,2023,13,Good,0,1,0,0,A,White Rice,Organic,1550
3599,PONG KRIEL|PK030,2023,13,Good,1,1,97,3,A1,Phka Rumduol,Organic,1950
3600,PONG KRIEL|PK031,2023,13,Good,0.1,0.1,70,30,A2,Phka Rumduol,Organic,1850
3601,PONG KRIEL|PK032,2023,14,Good,0,1,0,0,A,White Rice,New_Organic,1550
3602,PONG KRIEL|PK032,2023,14,Good,0,1,0,0,A,White Rice,New_Organic,1550
3603,PONG KRIEL|PK032,2023,13,Good,1,1,96,4,A1,Phka Rumduol,New_Organic,1950
3604,PONG KRIEL|PK033,2023,13,Good,1,1,86,14,A1,Phka Rumduol,Organic,1950
3605,PONG KRIEL|PK034,2023,14,Good,1,1,97,3,A1,Phka Rumduol,Organic,1950
3606,PONG KRIEL|PK035,2023,14,Good,2,1,80,20,A1,Phka Rumduol,Organic,1950
3607,PONG KRIEL|PK036,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
3608,PONG KRIEL|PK036,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
3609,PONG KRIEL|PK036,2023,13,Good,1,2,76,24,A1,Phka Rumduol,Organic,1950
3610,PONG KRIEL|PK037,2023,13,Good,1,1,96,4,A1,Phka Rumduol,Organic,1950
3611,PONG KRIEL|PK038,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3612,PONG KRIEL|PK038,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3613,PONG KRIEL|PK038,2023,13,Good,2,1,84,16,A1,Phka Rumduol,Organic,1950
3614,PONG KRIEL|PK040,2023,13,Good,1,1,86,14,A1,Phka Rumduol,Organic,1950
3615,PONG KRIEL|PK044,2023,14,Good,0.01,0.2,86,14,A1,Phka Rumduol,New_Organic,1950
3616,PONG KRIEL|PK045,2023,14,Good,1,1,98,2,A1,Phka Rumduol,Organic,1950
3617,PONG KRIEL|PK046,2023,13,Good,0,1,0,0,A,White Rice,Organic,1550
3618,PONG KRIEL|PK046,2023,13,Good,0,1,0,0,A,White Rice,Organic,1550
3619,PONG KRIEL|PK046,2023,13,Good,1,1,86,14,A1,Phka Rumduol,Organic,1950
3620,PONG KRIEL|PK049,2023,13,Good,1,2,90,10,A1,Phka Rumduol,Organic,1950
3621,PONG KRIEL|PK050,2023,13,Good,0.8,0.3,84,16,A1,Phka Rumduol,Organic,1950
