survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
9259,DANG PHLET|DP211,2025,23,Primary,4,3,2,2,240,0,0
2932,DANG PHLET|DP213,2021,,,,,,,,,
3455,DANG PHLET|DP213,2022,,,,,,,1500,0,0
5006,DANG PHLET|DP213,2023,,,,,,,1500,0,0
7033,DANG PHLET|DP213,2024,32,Primary,6,3,6,6,1500,6,0
9260,DANG PHLET|DP213,2025,33,Primary,6,3,15,14,1500,6,0
78,DANG PHLET|DP216,2019,,,,,,,,,
975,DANG PHLET|DP216,2020,,,,,,,,,
3030,DANG PHLET|DP216,2021,,,,,,,,,
3456,DANG PHLET|DP216,2022,,,,,,,2500,0,0
5007,DANG PHLET|DP216,2023,,,,,,,2500,0,0
7034,DANG PHLET|DP216,2024,55,Primary,7,3,7.3,5,2500,7,0
9261,DANG PHLET|DP216,2025,55,Primary,7,4,12,11,2500,8,0
7035,DANG PHLET|DP218,2024,30,Primary,6,5,4,4.5,1050,0,0
9262,DANG PHLET|DP218,2025,30,Primary,6,1,10,10,1050,0,0
9263,DANG PHLET|DP225,2025,27,Primary,5,3,26,26,2400,4,0
9264,DANG PHLET|DP227,2025,30,Primary,5,4,19,18,1800,3,0
79,DANG PHLET|DP233,2019,,,,,,,,,
976,DANG PHLET|DP233,2020,,,,,,,,,
2847,DANG PHLET|DP233,2021,,,,,,,,,
3457,DANG PHLET|DP233,2022,,,,,,,1000,0,0
80,DANG PHLET|DP239,2019,,,,,,,,,
977,DANG PHLET|DP239,2020,,,,,,,,,
2990,DANG PHLET|DP239,2021,,,,,,,,,
3458,DANG PHLET|DP239,2022,,,,,,,600,0,0
5008,DANG PHLET|DP239,2023,,,,,,,600,0,0
9265,DANG PHLET|DP239,2025,32,Primary,5,4,10,9,375,7,0
81,DANG PHLET|DP240,2019,,,,,,,,,
978,DANG PHLET|DP240,2020,,,,,,,,,
2977,DANG PHLET|DP240,2021,,,,,,,,,
7036,DANG PHLET|DP240,2024,35,Primary,4,2,6,5,450,3,0
9266,DANG PHLET|DP240,2025,40,Primary,4,2,5,5,450,5,0
5009,DANG PHLET|DP242,2023,,,,,,,600,0,0
7037,DANG PHLET|DP242,2024,35,Primary,5,2,10,10,600,4,0
82,DANG PHLET|DP247,2019,,,,,,,,,
979,DANG PHLET|DP247,2020,,,,,,,,,
3040,DANG PHLET|DP247,2021,,,,,,,,,
